"""ID""",Thumbnail,Name,Type,"Attribute Set",SKU,Price,Quantity,Visibility,Status,Websites,Action
5692,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/1/4/14881.jpg,"Molded General Use 1 3/4"" Wheelchair Seat Cushion",configurable,113,14881MM,45.000000,0.0000,3,1,1," -"
5693,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/1/4/14907.jpg,"Molded General Use Wheelchair Cushion, 16"" Wide",simple,113,14907,37.000000,1000.0000,1,1,1," -"
5694,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/1/4/14908.jpg,"Molded General Use Wheelchair Cushion, 18"" Wide",simple,113,14908,37.000000,0.0000,1,1,1," -"
5695,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/1/4/14909.jpg,"Molded General Use Wheelchair Cushion, 20"" Wide",simple,113,14909,44.990000,0.0000,1,1,1," -"
5696,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/1/4/14909.jpg,"Molded General Use Wheelchair Cushion",configurable,113,14909MM,45.000000,0.0000,3,1,1," -"
5697,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/1/8160-p.jpg,"Pommel Wedge Cushion with Stretch Cover, 16"" x 16""",simple,113,8160-p,46.000000,0.0000,5,1,1," -"
5698,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/1/8161-p.jpg,"Pommel Wedge Cushion with Stretch Cover",simple,113,8161-p,54.000000,10000.0000,5,1,1," -"
5699,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/1/8162-p.jpg,"Pommel Wedge Cushion with Stretch Cover, 20"" x 16""",simple,113,8162-p,49.000000,0.0000,5,1,1," -"
5700,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/1/8163-p.jpg,"Pommel Wedge Cushion with Stretch Cover, 22"" x 18""",simple,113,8163-p,52.000000,0.0000,5,1,1," -"
5701,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/1/8163-p.jpg,"Pommel Wedge Cushion with Stretch Cover",configurable,113,8163P,131.000000,0.0000,5,1,1," -"
5702,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/m/8/m8063.jpg,"Premier One Foam Cushion, 16"" x 16""",simple,113,m8063,28.000000,10000.0000,5,1,1," -"
5703,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/m/8/m8064.jpg,"Premier One Foam Cushion, 18"" x 16""",simple,113,m8064,28.000000,0.0000,1,1,1," -"
5704,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/m/8/m8065.jpg,"Premier One Foam Cushion, 20"" x 16""",simple,113,m8065,36.000000,150.0000,1,1,1," -"
5705,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/m/8/m8070.jpg,"Premier One Foam Cushion, 20"" x 18""",simple,113,m8070,31.000000,150.0000,1,1,1," -"
5706,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/m/8/m8076.jpg,"Premier One Foam Cushion, 22"" x 16""",simple,113,m8076,32.000000,0.0000,1,1,1," -"
5707,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/m/8/m8077.jpg,"Premier One Foam Cushion, 22"" x 18""",simple,113,m8077,33.000000,0.0000,1,1,1," -"
5708,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/m/8/m8078.jpg,"Premier One Foam Cushion, 22"" x 20""",simple,113,m8078,35.000000,0.0000,1,1,1," -"
